parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
5,63,2145,-1,0.35,0.5,5,2.145,1
5,64,1666,1,0.5,0.8,5,1.666,0
5,65,2162,1,1.1,0.65,5,2.162,1
5,66,4106,-1,0.95,1.1,5,4.106,1
5,67,3549,1,0.65,0.95,5,3.549,0
5,68,2059,1,1.1,0.95,5,2.059,1
5,69,1836,1,0.95,0.35,5,1.836,1
5,70,2797,-1,0.95,1.4,5,2.797,1
5,71,3814,1,0.65,0.35,5,3.814,1
5,72,1552,1,0.5,0.95,5,1.552,0
5,73,1761,1,1.1,0.8,5,1.761,1
5,74,1830,1,0.8,0.5,5,1.83,1
5,75,4063,-1,0.5,0.8,5,4.063,1
5,76,2243,1,0.65,0.95,5,2.243,0
5,77,2007,1,0.95,0,5,2.007,1
5,78,1930,1,0.65,0.65,5,1.93,1
5,79,1921,1,0.65,0.5,5,1.921,1
5,80,3888,1,0.5,1.1,5,3.888,0
5,81,2296,-1,0.65,0.65,5,2.296,1
5,82,2063,-1,0.95,1.1,5,2.063,1
5,83,1723,1,0.95,0.2,5,1.723,1
5,84,1541,-1,0.65,1.1,5,1.541,1
5,85,1576,-1,0,1.4,5,1.576,1
5,86,1790,1,0.8,0.5,5,1.79,1
5,87,1449,-1,0.8,0.65,5,1.449,0
5,88,2175,1,0.65,0.35,5,2.175,1
5,89,2671,-1,0.65,0.65,5,2.671,1
5,90,3138,-1,0,0.65,5,3.138,1
5,91,2577,1,1.1,0.95,5,2.577,1
5,92,1451,1,0.5,0.35,5,1.451,1
5,93,1971,1,0.8,0.65,5,1.971,1
5,94,1307,-1,0.8,0.8,5,1.307,1
5,95,2366,-1,0.5,0.8,5,2.366,1
5,96,2330,-1,0.95,0.8,5,2.33,0
5,97,2702,-1,0.35,0.2,5,2.702,0
5,98,1837,-1,0.35,0.95,5,1.837,1
5,99,2763,1,0.95,0.35,5,2.763,1
5,100,1789,-1,0.8,1.25,5,1.789,1
5,101,2434,1,0.8,0.8,5,2.434,1
5,102,2746,-1,1.1,0.65,5,2.746,0
5,103,1398,1,0.8,0.5,5,1.398,1
5,104,1415,-1,0.35,0.95,5,1.415,1
5,105,1682,-1,0.95,1.1,5,1.682,1
5,106,1284,1,1.1,0.35,5,1.284,1
5,107,2749,-1,0.8,0.2,5,2.749,0
5,108,1729,1,1.1,0,5,1.729,1
5,109,1498,1,1.1,0.95,5,1.498,1
5,110,1516,1,0.5,0.5,5,1.516,1
5,111,1479,-1,0.65,0.8,5,1.479,1
5,112,2344,1,1.1,0.8,5,2.344,1
5,113,1706,-1,0,0.95,5,1.706,1
5,114,1624,-1,0.8,1.1,5,1.624,1
5,115,1659,-1,0.35,0.65,5,1.659,1
5,116,1798,-1,1.1,1.25,5,1.798,1
5,117,1976,1,0.65,0.35,5,1.976,1
5,118,1669,-1,0.8,0.5,5,1.669,0
5,119,1403,-1,0.5,1.1,5,1.403,1
6,0,3077,1,0.65,0.65,6,3.077,1
6,1,2443,-1,0.5,1.4,6,2.443,1
6,2,3851,-1,0.65,0.35,6,3.851,0
6,3,1674,-1,0,0.95,6,1.674,1
6,4,4085,1,0.8,0.8,6,4.085,1
6,5,4310,1,0.65,0.65,6,4.31,1
6,6,2851,-1,0.95,0.5,6,2.851,0
6,7,6580,1,0.65,0.95,6,6.58,0
6,8,2112,-1,0.95,0.8,6,2.112,0
6,9,3459,1,0.95,0.95,6,3.459,1
6,10,2083,1,0.95,0,6,2.083,1
6,11,3810,-1,0.8,0.95,6,3.81,1
6,12,2582,-1,0.8,0.95,6,2.582,1
6,13,1965,1,0.65,0.8,6,1.965,0
6,14,2053,1,0.95,1.4,6,2.053,0
6,15,2075,-1,0.65,0.65,6,2.075,1
6,16,2327,-1,0.95,0.95,6,2.327,1
6,17,7299,-1,0.8,0.8,6,7.299,1
6,18,3499,1,0.65,0.8,6,3.499,0
6,19,2058,-1,0.35,1.25,6,2.058,1
6,20,2343,-1,0.8,0.65,6,2.343,0
6,21,3332,1,0.95,0.8,6,3.332,1
6,22,5118,1,0.95,0.65,6,5.118,1
6,23,5818,1,1.1,0.65,6,5.818,1
6,24,5480,1,0.65,0.95,6,5.48,0
6,25,2262,1,1.4,0.65,6,2.262,1
6,26,1885,1,0.8,0.5,6,1.885,1
6,27,4647,1,0.5,0.8,6,4.647,0
6,28,2795,1,0,0.8,6,2.795,0
6,29,2391,-1,0.8,0.8,6,2.391,1
6,30,2132,-1,0.65,0.8,6,2.132,1
6,31,1753,-1,0.65,0.95,6,1.753,1
6,32,1565,1,0.95,0.8,6,1.565,1
6,33,5829,-1,0.8,0.95,6,5.829,1
6,34,1473,1,0.95,0.95,6,1.473,1
6,35,2756,-1,0.95,1.1,6,2.756,1
6,36,9179,1,0.65,0.95,6,9.179,0
6,37,4856,1,0.95,0.8,6,4.856,1
6,38,4454,1,0.65,0.65,6,4.454,1
6,39,3803,-1,0.65,0.95,6,3.803,1
6,40,3112,1,0.65,0.65,6,3.112,1
6,41,1836,1,0.5,0.95,6,1.836,0
6,42,2887,-1,1.55,1.25,6,2.887,0
6,43,1906,1,1.1,0.95,6,1.906,1
6,44,2401,-1,0.65,0.95,6,2.401,1
6,45,3320,1,0.95,0.65,6,3.32,1
6,46,1803,-1,0,0.5,6,1.803,1
6,47,3124,1,0.65,0.65,6,3.124,1
6,48,2448,-1,0.65,1.4,6,2.448,1
6,49,2020,-1,0.8,0.5,6,2.02,0
6,50,2198,-1,0.8,0.8,6,2.198,1
6,51,4057,-1,0.35,0.65,6,4.057,1
6,52,1457,-1,0,0.5,6,1.457,1
6,53,2901,-1,1.4,0.95,6,2.901,0
6,54,1649,-1,0.8,0.95,6,1.649,1
6,55,1330,1,0.95,0.65,6,1.33,1
6,56,3243,1,0.65,0.8,6,3.243,0
6,57,3476,1,0.95,0.8,6,3.476,1
6,58,4326,1,0.95,0.95,6,4.326,1
6,59,1492,1,0.65,0.95,6,1.492,0
6,60,3291,1,0.95,0.35,6,3.291,1
6,61,1686,-1,0.8,0.65,6,1.686,0
6,62,1471,1,1.4,0.5,6,1.471,1
6,63,1613,-1,0.8,0.95,6,1.613,1
6,64,1615,1,0.35,0.65,6,1.615,0
6,65,2575,1,0.95,0.8,6,2.575,1
6,66,1202,-1,0.8,0.95,6,1.202,1
6,67,969,1,0.8,0.95,6,0.969,0
6,68,1993,1,0.8,0.8,6,1.993,1
6,69,3277,-1,0.65,1.55,6,3.277,1
6,70,1123,1,0.95,0,6,1.123,1
6,71,3412,1,0.95,0.65,6,3.412,1
6,72,1591,1,0.95,0,6,1.591,1
6,73,1052,-1,0,0.65,6,1.052,1
6,74,470,1,0.95,0.65,6,0.47,1
6,75,3046,1,0.95,0.8,6,3.046,1
6,76,5454,-1,0.95,1.4,6,5.454,1
6,77,1520,1,0.95,0.95,6,1.52,1
6,78,1898,-1,0.95,0.95,6,1.898,1
6,79,2551,1,0.8,0.65,6,2.551,1
6,80,1843,1,0.95,0.8,6,1.843,1
6,81,1358,1,1.25,1.55,6,1.358,0
6,82,2228,1,0.8,0.95,6,2.228,0
6,83,1717,-1,0.65,0.8,6,1.717,1
6,84,1157,1,1.25,0.35,6,1.157,1
6,85,1250,-1,0,0.95,6,1.25,1
6,86,1283,1,0.65,0,6,1.283,1
6,87,1389,1,0.95,0,6,1.389,1
6,88,1805,-1,0.8,0.95,6,1.805,1
6,89,1956,-1,0.5,0.8,6,1.956,1
6,90,2259,-1,0.65,0.65,6,2.259,1
6,91,1560,-1,0.35,0.95,6,1.56,1
6,92,974,-1,0.95,0.95,6,0.974,1
6,93,1270,1,0.95,0.95,6,1.27,1
6,94,1251,-1,0,0.95,6,1.251,1
6,95,1576,-1,0.65,1.1,6,1.576,1
6,96,1882,1,0.8,0.65,6,1.882,1
6,97,2316,1,1.4,0.95,6,2.316,1
6,98,884,-1,0,0.95,6,0.884,1
6,99,1595,-1,0.95,0.65,6,1.595,0
6,100,2383,-1,0.95,0.65,6,2.383,0
6,101,1810,1,0.8,0.8,6,1.81,1
6,102,1526,-1,0.95,0.95,6,1.526,1
6,103,2161,1,0.8,0.95,6,2.161,0
6,104,1758,-1,0.65,0.65,6,1.758,1
