Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,212,0,202,2,44,,,2.0,4.83,12,10,1,5,1.0,5.0,2509,250.9,2755
0,213,1,354,1,107,2.0,4.83,2.0,4.83,8,6,1,4,1.0,3.0,1804,300.6666666666667,2265
0,214,1,316,2,107,1.25,2.83,1.7,5.0,6,4,2,3,1.0,2.0,1443,360.75,1866
0,215,2,205,1,457,0.35,4.33,1.85,5.0,7,5,1,4,1.0,3.0,1504,300.8,2166
0,216,1,370,2,79,1.25,3.08,1.1,4.75,15,13,1,8,1.0,8.0,4379,336.84615384615387,4828
0,217,1,312,1,180,2.0,4.83,2.0,4.83,8,6,1,4,1.0,3.0,1884,314.0,2376
0,218,1,178,1,420,2.0,4.83,2.0,4.83,8,6,1,4,1.0,3.0,1508,251.33333333333334,2106
0,219,1,362,1,48,1.85,2.58,1.85,2.58,8,6,1,5,1.0,4.0,1918,319.6666666666667,2328
0,220,1,374,1,202,2.0,5.0,2.0,5.0,16,14,1,9,1.0,8.0,3998,285.57142857142856,4574
0,221,2,280,2,281,1.4,3.08,1.4,3.08,6,4,2,3,1.0,2.0,1147,286.75,1708
0,222,1,390,2,335,1.1,0.83,1.85,5.0,6,4,2,3,1.0,2.0,1014,253.5,1739
0,223,1,468,2,579,0.35,4.33,1.1,5.0,4,2,1,2,,,0,0.0,1466
0,224,1,162,1,148,1.7,3.58,1.7,3.58,15,13,1,10,1.0,9.0,4122,317.0769230769231,4432
0,225,1,260,2,624,1.1,4.08,2.0,4.75,5,3,1,2,1.0,2.0,875,291.6666666666667,1759
0,226,2,223,2,378,2.0,4.33,2.0,4.33,6,4,2,3,1.0,2.0,932,233.0,1533
0,227,1,418,1,266,1.25,4.08,1.25,4.08,5,3,1,2,2.0,2.0,872,290.6666666666667,1556
