parcode,trial,microfix1,microfix2,microfix1_drop,microfix2_drop,microfix_1_drop_timeavg,microfix_2_drop_timeavg
3,149,3,3,2,2,267.0,209.0
3,150,3,2,2,1,143.0,236.0
3,151,3,3,2,1,382.0,278.0
3,152,2,7,1,5,1134.0,336.0
3,153,4,4,2,2,171.0,232.0
3,154,2,2,1,1,341.0,236.0
3,155,2,2,1,1,145.0,258.0
3,156,2,4,1,3,303.0,142.66666666666666
3,157,3,3,2,2,324.5,173.0
3,158,3,4,2,2,221.0,206.5
3,159,3,5,2,3,274.0,230.66666666666666
3,160,5,7,3,4,234.33333333333334,381.5
3,161,3,4,2,3,238.5,117.33333333333333
3,162,2,5,1,3,230.0,375.6666666666667
3,163,2,2,1,1,691.0,250.0
3,164,3,5,2,4,247.0,176.0
3,165,2,2,1,1,210.0,540.0
